courseid,coursename
31200,course-v1:BNU+2017053101X+2017_T2
31201,course-v1:BSU+BSU001+2017_T2
31202,course-v1:BUPT+3412113011+2017_T2
31203,course-v1:BUx+CIRTL.1x+2T2017
31204,course-v1:BUx+CIRTL.2x+3T2016
31205,course-v1:BUx+GlobalHealthX+1T2017
31206,course-v1:BUx+Math226.1x+2T2017
31207,course-v1:BUx+Math226.2x+2T2017
31208,course-v1:BUx+Math226.3x+3T2017
31209,course-v1:BUx+PY1x+3T2016
31210,course-v1:BUx+QD501x+2T2017
31211,course-v1:BUx+QD502x+3T2017
31212,course-v1:BUx+QD503x+2T2017
31213,course-v1:BUx+QD504x+3T2017
31214,course-v1:BUx+QD505x+2T2017
31215,course-v1:BUx+QD601x+1T2018
31216,course-v1:BUx+QD602x+1T2018
31217,course-v1:BUx+SpanishX+1T2017
31218,course-v1:BabsonX+BPET.ACCx+1T2017
31219,course-v1:BabsonX+BPET.ETAx+1T2017_2
31220,course-v1:BabsonX+BPET.FINx+2T2017
31221,course-v1:BabsonX+BPET.MKTx+2T2017SP
31222,course-v1:BabsonX+BPET.STATx+2T2017
31223,course-v1:BabsonX+BPET.STRATx+2T2017
31224,course-v1:BeijingDigitalSchool+2015HHSYGZ+2016_03
31225,course-v1:BeijingNormalUniversity+CS2016+2016_T1
31226,course-v1:BeijingNormalUniversity+CS201602+20160315
31227,course-v1:BerkeleyX+BJC.12x+3T2016
31228,course-v1:BerkeleyX+BJC.34x+1T2017
31229,course-v1:BerkeleyX+CS169.1x+1T2017SP
31230,course-v1:BerkeleyX+CS169.2x+1T2017SP
31231,course-v1:BerkeleyX+CS169_1x+2017_T1
31232,course-v1:BerkeleyX+CS169_1x+2017_T2
31233,course-v1:BerkeleyX+ColWri11.1x+3T2016
31234,course-v1:BerkeleyX+ColWri11.2x+1T2017
31235,course-v1:BerkeleyX+ColWri11.3x+1T2017
31236,course-v1:BerkeleyX+GG101x+3T2017
31237,course-v1:BerkeleyX+J4SC101x+2T2017
31238,course-v1:BerkeleyX+Policy01x+1T2017
31239,course-v1:BerkleeX+BMPR365x+1T2017
31240,course-v1:BerkleeX+BMPR365x+1T2017_2
31241,course-v1:BerkleeX+MB110x+1T2017_2
31242,course-v1:BerkleeX+OENTR-391x+2T2017
31243,course-v1:BerkleeX+OHARM-100x+2T2017
31244,course-v1:BerkleeX+OMTHR-001x+1T2017_2
31245,course-v1:BrownX+ENGL101x+2T2017
31246,course-v1:BrownX+MED101x+2T2017
31247,course-v1:CAU+MZD001+2015_T2
31248,course-v1:CAU+guangxi08110140_1x+2017_T1
31249,course-v1:CAU+guangxi08112500x+2017_T1
31250,course-v1:CCEAT+CCEAT-00001+x
31251,course-v1:CDU+04420040+2015_T1
31252,course-v1:CDU+cdu0628+2017_T1
31253,course-v1:CDU_TsinghuaX+10610204X+2017_T1
31254,course-v1:CHD+24123150+2017_T1
31255,course-v1:CHONGQINGUNIVERSITY+jxdqkzjzdh001+2016-T2
31256,course-v1:CIE+60510162X+2015_T2
31257,course-v1:CIE+CIE2016002+2017_T2
31258,course-v1:CIE+CIE2016004+2017_T2
31259,course-v1:CIE+CIE2016005+2017_T2
31260,course-v1:CIE+CIE2016005_+2017_T2
31261,course-v1:CIE+CIE2016006_p1+sp
31262,course-v1:CIE+CIE2016007+2017_T2
31263,course-v1:CIE+CIE2017002+2017_T2
31264,course-v1:CIE+CIE2017004+2017_T2
31265,course-v1:CIE+CIE2017005+2017_T2
31266,course-v1:CIE+CIE2017007+2017_T2
31267,course-v1:CIE+CIE2017008+2017_T2
31268,course-v1:CIE+CRE001+2015_T2
31269,course-v1:CIE+CXST001+2015_T2
31270,course-v1:CIE+FP2015+_
31271,course-v1:CIE+FZR001+2015_T2
31272,course-v1:CIE+JD2015+sp
31273,course-v1:CIE+JD_2017+2017_T2
31274,course-v1:CIE+THU00002X+2015_T2
31275,course-v1:CIE+THU00003X+2015_T2
31276,course-v1:CIE+THU00004X+2015_T2
31277,course-v1:CIE+THU00005X+2015_T2
31278,course-v1:CIE+THU00008X+2015_T2
31279,course-v1:CIE+THU00009X+2015_T2
31280,course-v1:CIE+THU00011X+2015_T2
31281,course-v1:CIE+THU00012X+2015_T2
31282,course-v1:CIE+THU00015X+2015_T2
31283,course-v1:CIE+THU00016X+2015_T2
31284,course-v1:CIE+THU00019X+2015_T2
31285,course-v1:CIE+THU00020X+2015_T2
31286,course-v1:CIE+THU00021X+2015_T2
31287,course-v1:CIE+XTHU00014X+2015_T2
31288,course-v1:CIE+guangxiJD2017+2017_T1
31289,course-v1:CLE+CLE2017001+2017_T2
31290,course-v1:CLE+CLE2017004+2017_T1
31291,course-v1:CMU+CS101+2017_T2
31292,course-v1:CPVS+CPVS-DZSW001+20160901
31293,course-v1:CPVS+CPVS-DZSW002+20160901
31294,course-v1:CPVS+CPVS-HDLSC001+20160901
31295,course-v1:CPVS+CPVS-LY002+2016_T2
31296,course-v1:CPVS+CPVS-PR001+20160901
31297,course-v1:CPVS+CPVS-SJ001+20161116
31298,course-v1:CPVS+CPVS-XXLY001+20160901
31299,course-v1:CPVS+CPVS-homework_chengshiguidao+20170118
31300,course-v1:CPVS+CPVS-homework_chengshiguidao+20170712
31301,course-v1:CPVS+CPVS-homework_dianshang+20170118
31302,course-v1:CPVS+CPVS-homework_dianshang+20170712
31303,course-v1:CPVS+CPVS-homework_dianshang163+20170712
31304,course-v1:CPVS+CPVS-homework_donghua+20170118
31305,course-v1:CPVS+CPVS-homework_donghua+20170712
31306,course-v1:CPVS+CPVS-homework_hangkongfuwu+20170118
31307,course-v1:CPVS+CPVS-homework_hangkongfuwu+20170712
31308,course-v1:CPVS+CPVS-homework_meirongmeiti+20170118
31309,course-v1:CPVS+CPVS-homework_meirongmeiti+2017_T2
31310,course-v1:CPVS+CPVS-homework_pingmiansheji1+20170118
31311,course-v1:CPVS+CPVS-homework_pingmiansheji1+20170712
31312,course-v1:CPVS+CPVS-homework_pingmiansheji2+20170118
31313,course-v1:CPVS+CPVS-homework_pingmiansheji2+20170712
31314,course-v1:CPVS+CPVS-homework_shuziyingxiang+20170118
31315,course-v1:CPVS+CPVS-homework_shuziyingxiang+20170712
31316,course-v1:CPVS+CPVS-homework_wurenji+20170118
31317,course-v1:CPVS+CPVS-homework_wurenji+20170712
31318,course-v1:CPVS+CPVS-homework_xueqiandaban+20170118
31319,course-v1:CPVS+CPVS-homework_xueqianxiaoban+20170118
31320,course-v1:CPVS+CPVS-homework_xueqianxiaoban15ji+20170712
31321,course-v1:CPVS+CPVS-homework_xueqianxiaoban16ji+20170712
31322,course-v1:CPVS+CPVS-homework_xueqianzhongban+20170118
31323,course-v1:CPVS+CPVS_AQJY001+2017_T2
31324,course-v1:CPVS+CPVS_CHYS2015+20170221
31325,course-v1:CPVS+CPVS_FDJZJ001+2017_T2
31326,course-v1:CPVS+CPVS_HZ001+2017_T2
31327,course-v1:CPVS+CPVS_SKCC001+2017_T2
31328,course-v1:CPVS+CPVS_SNZS001+2017_T2
31329,course-v1:CPVS+CPVS_SPYYYAQ001+2017_T2
31330,course-v1:CPVS+CPVS_SX001+2017_T2
31331,course-v1:CPVS+CPVS_YEJSKY001+2017_T2
31332,course-v1:CPVS+CPVS_YY001+2017_T2
31333,course-v1:CPVS+CPVS_ZHJDCLHCQ001+2017_T2
31334,course-v1:CPVS+CPVS_ZHJDCZSMD001+2017_T2
31335,course-v1:CPVS+CPVS_ZXYRS001+2017_T2
31336,course-v1:CPVS+CPVS_homework-chongwu+20170714
31337,course-v1:CPVS+CPVS_homework-deyu+20170714
31338,course-v1:CPVS+CPVS_homework-guidaojianxiu+20170118
31339,course-v1:CPVS+CPVS_homework-jinrongzhuanye+20170714
31340,course-v1:CPVS+CPVS_homework-mashu+20170714
31341,course-v1:CPVS+CPVS_homework-moban+20170714
31342,course-v1:CPVS+CPVS_homework-pengren+20170118
31343,course-v1:CPVS+CPVS_homework-pengren+20170713
31344,course-v1:CPVS+CPVS_homework-pengren-xicanmiandian+20170714
31345,course-v1:CPVS+CPVS_homework-pengren-xicanpengren+20170714
31346,course-v1:CPVS+CPVS_homework-pengrenjichu+20170714
31347,course-v1:CPVS+CPVS_homework-pengrenzcdg+20170714
31348,course-v1:CPVS+CPVS_homework-pengrenzhongcan+20170714
31349,course-v1:CPVS+CPVS_homework-qixiu+20170118
31350,course-v1:CPVS+CPVS_homework-qx2015+20170712
31351,course-v1:CPVS+CPVS_homework-qx201512+20170118
31352,course-v1:CPVS+CPVS_homework-qx201612+20170712
31353,course-v1:CPVS+CPVS_homework-qx2016345+20170118
31354,course-v1:CPVS+CPVS_homework-qx2016345+20170712
31355,course-v1:CPVS+CPVS_homework-qx2016j12+20170712
31356,course-v1:CPVS+CPVS_homework-qx_bp+20170712
31357,course-v1:CPVS+CPVS_homework-shipin+20170118
31358,course-v1:CPVS+CPVS_homework-shipinernianji+20170714
31359,course-v1:CPVS+CPVS_homework-shipinyinianji+20170714
31360,course-v1:CPVS+CPVS_homework-shukong+20170118
31361,course-v1:CPVS+CPVS_homework-shukong+20170711
31362,course-v1:CPVS+CPVS_homework-shukong+20170712
31363,course-v1:CPVS+CPVS_homework-wangluojishu16+20170712
31364,course-v1:CPVS+CPVS_homework-yingyuernianji+20170714
31365,course-v1:CPVS+CPVS_homework-yuanlin+20170112
31366,course-v1:CPVS+CPVS_homework-yuanlinernianji+20170714
31367,course-v1:CPVS+CPVS_homework-yuanlinyinianji+20170714
31368,course-v1:CPVS+CPVS_homework_chongwu+20170118
31369,course-v1:CPVS+CPVS_homework_lvyou+20170118
31370,course-v1:CPVS+CPVS_homework_lvyou+20170714
31371,course-v1:CPVS+cpvs_homework-jinrong+20170118
31372,course-v1:CPVS+cpvs_homework-wangluojishu+20170118
31373,course-v1:CPVS+cpvs_homework-wangluojishu15ji+20170712
31374,course-v1:CQU+20019825+2017_T1
31375,course-v1:CQU+CQU001+1994_T2
31376,course-v1:CQU+CQU001+2016_T2
31377,course-v1:CQU+CQU002+2016_T1
31378,course-v1:CQU+CQU049980+22016_T2
31379,course-v1:CQU+CQUCEM30110+2017_T1
31380,course-v1:CQU+CQUCHEM10003-002+2017-T1
31381,course-v1:CQU+CQUCHEM100060062017T1+2017_T1
31382,course-v1:CQU+CQUEDS20502+2017_T1
31383,course-v1:CQU+CQUEGP20201+2016_T2
31384,course-v1:CQU+CQUMGMT303220012017T1+2017_T1
31385,course-v1:CQU+CQUMOOCEDS205036212017T1+2017-T1
31386,course-v1:CQU+CQUMOOCGE20100+2017_T1
31387,course-v1:CQU+CQUMOOCMGMT30409001+2017-T1
31388,course-v1:CQU+CQUMOOCMSE21202002+2017T1
31389,course-v1:CQU+CS1001001+2017-T1
31390,course-v1:CQU+CS102+2017_T2
31391,course-v1:CQU+EDS20401+2016_T2
31392,course-v1:CQU+GC001+2016-T2
31393,course-v1:CQU+ICE20012+2016-T3
31394,course-v1:CQU+IPG01002+2017_T2
31395,course-v1:CQU+MOOCSTG00012+2017_1
31396,course-v1:CQU+SPOCsystemguide2017+2017_T1
31397,course-v1:CQU+SSG00007+2017_2018_T1
31398,course-v1:CQU+Seb0007+2017_T1
31399,course-v1:CQU+TSJY+2017_T1
31400,course-v1:CQU+TSJYHG00001+2017_T1
31401,course-v1:CQU+TSJYHG00002+2017_T1
31402,course-v1:CQU+TSJYHG00003+2017_T1
31403,course-v1:CQU+TSJYHG00004+2017_T1
31404,course-v1:CQU+TSJYHG00005+2017_T1
31405,course-v1:CQU+TSJYHG00006+2017_T1
31406,course-v1:CQU+TSJYHG00007+2017_T1
31407,course-v1:CQU+TSJYHG00009+2017_T1
31408,course-v1:CQU+TSJYHG00010+2017_T1
31409,course-v1:CQU+TSJYHG00011+2017_T1
31410,course-v1:CQU+TSJYHG00012+2017_T1
31411,course-v1:CQU+TSJYHG00013+2017_T1
31412,course-v1:CQU+TSJYHG00014+2017_T1
31413,course-v1:CQU+TSJYHG00015+2017_T1
31414,course-v1:CQU+TSJYHG00016+2017_T1
31415,course-v1:CQU+TSJYHG00017+2017_T1
31416,course-v1:CQU+TSJYHG00021+2017_T1
31417,course-v1:CQU+TSJYHG00022+2017_T1
31418,course-v1:CQU+TSJYHG00023+2017_T1
31419,course-v1:CQU+TSJYHG00024+2017_T1
31420,course-v1:CQU+TSJYHG00025+2017_T1
31421,course-v1:CQU+TSJYHG00026+2017_T1
31422,course-v1:CQU+TSJYHG00027+2017_T1
31423,course-v1:CQU+TSJYHG00028+2017_T1
31424,course-v1:CQU+TSJYHG00029+2017_T1
31425,course-v1:CQU+TSJYHG00030+2017_T1
31426,course-v1:CQU+TSJYHG00031+2017
31427,course-v1:CQU+TSJYHG00032+2017_T1
31428,course-v1:CQU+TSJYHG00037+2017_T1
31429,course-v1:CQU+TSJYHG00038+2017_T1
31430,course-v1:CQU+TSJYHG00039+2017_T1
31431,course-v1:CQU+TSJYHG00040+2017_T1
31432,course-v1:CQU+TSJYHG00041+2017_T1
31433,course-v1:CQU+TSJYHG00042+2017_T1
31434,course-v1:CQU+TSJYHG00043+2017_T1
31435,course-v1:CQU+TSJYHG00044+2017_T1
31436,course-v1:CQU+TSJYHG00045+2017_T1
31437,course-v1:CQU+TSJYHG00048+2017_T1
31438,course-v1:CQU+TSJYHG00050+2017_T1
31439,course-v1:CQU+TSJYHG00052+2017_T1
31440,course-v1:CQU+TSJYHG00053+2017_T1
31441,course-v1:CQU+TSJYHG00054+2017_T1
31442,course-v1:CQU+TSJYHG00055+2017_T1
31443,course-v1:CQU+TSJYHG00056+2017_T1
31444,course-v1:CQU+TSJYHG00057+2017_T1
31445,course-v1:CQU+TSJYHG00058+2017_T1
31446,course-v1:CQU+TSJYHG00059+2017_T1
31447,course-v1:CQU+TSJYHG00060+2017_T1
31448,course-v1:CQU+TSJYHG00061+2017_T1
31449,course-v1:CQU+TSJYHG00062+2017_T1
31450,course-v1:CQU+TSJYHG00063+2017_T1
31451,course-v1:CQU+TSJYHG00064+2017_T1
31452,course-v1:CQU+TSJYHG00065+2017_T1
31453,course-v1:CQU+TSJYHG00066+2017_T1
31454,course-v1:CQU+TSJYHG00067+2017_T1
31455,course-v1:CQU+TSJYHG00068+2017_T1
31456,course-v1:CQU+TSJYIPG00001+2017_T1
31457,course-v1:CQU+TSJYIPG00004+2017_T1
31458,course-v1:CQU+TSJYIPG00007+2017_T1
31459,course-v1:CQU+TSJYIPG00008+2017_T1
31460,course-v1:CQU+TSJYIPG00010+2017_T1
31461,course-v1:CQU+TSJYIPG00011+2017_T1
31462,course-v1:CQU+TSJYIPG00012+2017_T1
31463,course-v1:CQU+TSJYIPG01006+2017_T1
31464,course-v1:CQU+TSJYSSG00001+2017_T1
31465,course-v1:CQU+TSJYSSG00002+2017_T1
31466,course-v1:CQU+TSJYSSG00003+2017_T1
31467,course-v1:CQU+TSJYSSG00005+2017_T1
31468,course-v1:CQU+TSJYSSG00008+2017_T1
31469,course-v1:CQU+TSJYSSG00009+2017_T1
31470,course-v1:CQU+TSJYSSG00010+2017_T1
31471,course-v1:CQU+TSJYSSG00011+2017_T1
31472,course-v1:CQU+TSJYSSG00012+2017_T1
31473,course-v1:CQU+TSJYSSG00014+2017_T1
31474,course-v1:CQU+TSJYSSG00015+2017_T1
31475,course-v1:CQU+TSJYSSG00016+2017_T1
31476,course-v1:CQU+TSJYSSG00017+2017_T1
31477,course-v1:CQU+TSJYSSG00018+2017_T1
31478,course-v1:CQU+TSJYSSG00019+2017_T1
31479,course-v1:CQU+TSJYSSG00020+2017_T1
31480,course-v1:CQU+TSJYSSG00021+2017_T1
31481,course-v1:CQU+TSJYSSG00022+2017_T1
31482,course-v1:CQU+TSJYSSG00023+2017_T1
31483,course-v1:CQU+TSJYSSG00025+2017_T1
31484,course-v1:CQU+TSJYSSG00026+2017_T1
31485,course-v1:CQU+TSJYSSG00028+2017_T1
31486,course-v1:CQU+TSJYSSG00030+2017_T1
31487,course-v1:CQU+TSJYSSG00031+2017_T1
31488,course-v1:CQU+TSJYSSG00032+2017_T1
31489,course-v1:CQU+TSJYSSG00033+2017_T1
31490,course-v1:CQU+TSJYSSG00034+2017_T1
31491,course-v1:CQU+TSJYSSG00035+2017_T1
31492,course-v1:CQU+TSJYSSG00036+2017_T1
31493,course-v1:CQU+TSJYSSG00037+2017_T1
31494,course-v1:CQU+TSJYSSG00038+2017_T1
31495,course-v1:CQU+TSJYSSG00040+2017_T1
31496,course-v1:CQU+TSJYSSG20027+2017_T1
31497,course-v1:CQU+TSJYSTG00001+2017_T1
31498,course-v1:CQU+TSJYSTG00002+2017_T1
31499,course-v1:CQU+TSJYSTG00003+2017_T1
31500,course-v1:CQU+TSJYSTG00004+2017_T1
31501,course-v1:CQU+TSJYSTG00005+2017_T1
31502,course-v1:CQU+TSJYSTG00006+2017_T1
31503,course-v1:CQU+TSJYSTG00007+2017_T1
31504,course-v1:CQU+TSJYSTG00008+2017_T1
31505,course-v1:CQU+TSJYSTG00009+2017_T1
31506,course-v1:CQU+TSJYSTG00010+2017_T1
31507,course-v1:CQU+TSJYSTG00012+2017_T1
31508,course-v1:CQU+TSJYSTG00013+2017_T1
31509,course-v1:CQU+TSJYSTG00014+2017_T1
31510,course-v1:CQU+TSJYSTG00015+2017_T1
31511,course-v1:CQU+TSJYSTG00016+2017_T1
31512,course-v1:CQU+TSJYSTG00017+2017_T1
31513,course-v1:CQU+TSJYSTG00018+2017_T1
31514,course-v1:CQU+TSJYSTG00019+2017_T1
31515,course-v1:CQU+TSJYSTG00020+2017_T1
31516,course-v1:CQU+TSJYSTG00021+2017_T1
31517,course-v1:CQU+TSJYSTG00022+2017_T1
31518,course-v1:CQU+TSJYSTG00023+2017_T1
31519,course-v1:CQU+TSJYSTG00024+2017_T1
31520,course-v1:CQU+TSJYSTG00025+2017_T1
31521,course-v1:CQU+TSJYSTG00027+2017_T1
31522,course-v1:CQU+TSJYSTG00028+2017_T1
31523,course-v1:CQU+TSJYSTG00029+2017_T1
31524,course-v1:CQU+TSJYSTG00030+2017_T1
31525,course-v1:CQU+TSJYSTG00031+2017_T1
31526,course-v1:CQU+TSJYSTG00033+2017_T1
31527,course-v1:CQU+TSJYSTG00034+2017_T1
31528,course-v1:CQU+ceshi0607+2016_T2
31529,course-v1:CQU+cqu00001+2016_T2
31530,course-v1:CQU+jf001+201706
31531,course-v1:CQU+jsfz201706+201706
31532,course-v1:CQU+yanshiyongkecheng001+2017_T1
31533,course-v1:CQUMOOC+0001-UniversityChemistry+2017_T1
31534,course-v1:CQUMOOC+0002-StructuralMechanics+2017_T1
31535,course-v1:CQUMOOC+0003-EmbeddedController+2017_T1
31536,course-v1:CQUMOOC+0005-ElectricalandElectronical-II+2017_T1
31537,course-v1:CQUMOOC+0005-ProbabilitandStatistics+2017_T1
31538,course-v1:CQUMOOC+0007-Webdevelopmenttechnology+2017_T1
31539,course-v1:CQUMOOC+0008-SocialPsychology+2017_T1
31540,course-v1:CQUMOOC+0009-StudentAssistant+2017_T1
31541,course-v1:CQUMOOC+CE301330012017T1+2017_T1
31542,course-v1:CQUMOOC+cquspoc-teacher+2017_T1
31543,course-v1:CQUSPOC+EDS20503621+2017_T2
31544,course-v1:CQUSPOC+EE20320001+2017_T2
31545,course-v1:CQUX+2017042501X+sp
31546,course-v1:CQUiversity+22830003+2016-T2
31547,course-v1:CUPB+CUPB201702+2017_T1
31548,course-v1:CYCU+cycusheji+2017_T2
31549,course-v1:CYCU+cycusllckx+2017_T2
31550,course-v1:CaltechX+BEM1105x+2T2017
31551,course-v1:CaltechX+Ec1011x+1T2017
31552,course-v1:CatalystX+IL-BSL.S1x+2T2017
31553,course-v1:CatalystX+IL4x+2T2017
31554,course-v1:CatalystX+IL4x+3T2016
31555,course-v1:CatalystX+ILDIV1x+2T2017
31556,course-v1:CatalystX+ILX2+2T2017
31557,course-v1:CatalystX+ILX2+3T2016
31558,course-v1:Catalystx+IL5x+2T2017
31559,course-v1:Catalystx+IL5x+3T2016
31560,course-v1:ChalmersX+ChM003x+1T2017
31561,course-v1:ChalmersX+ChM004x+2T2017
31562,course-v1:ChalmersX+ChM005x+3T2016
31563,course-v1:ChalmersX+ChM006x+1T2017
31564,course-v1:ChengDuU+08460170+2017_T1
31565,course-v1:ChongqingThreeGorgesUniversity+1503005079+2016_T2
31566,course-v1:ChongqingUX+2017041803X+sp
31567,course-v1:ChongqingUniversity+EDS20501+2017_T1
31568,course-v1:ChongqingUniversity+EGP20402+2016-2017-1
31569,course-v1:ChongqingUniversity+EUS10021+2017-T1
31570,course-v1:ChongqingUniversity+EUS10041+2016-2017-2
31571,course-v1:ChongqingUniversity+EUS10041+2017-T2
31572,course-v1:ChongqingUniversity+SE31107+2017_T1
31573,course-v1:Chongqinguniversity+EGP20402+2016-2017-2
31574,course-v1:Chongqinguniversity+EUS10031+2016_T1
31575,course-v1:CollegeOfEducation+052001+17181
31576,course-v1:Collegeofart+ZB4017+2016-T1
31577,course-v1:ColumbiaX+BAMM.101x+2T2017
31578,course-v1:ColumbiaX+BAMM.102x+2T2017
31579,course-v1:ColumbiaX+BAMM.103x+3T2017
31580,course-v1:ColumbiaX+BAMM.104x+3T2017
31581,course-v1:ColumbiaX+CSMM.101x+2T2017_2
31582,course-v1:ColumbiaX+CSMM.102x+2T2017_2
31583,course-v1:ColumbiaX+CSMM.103x+1T2017
31584,course-v1:ColumbiaX+CSMM.104x+3T2017
31585,course-v1:ColumbiaX+DS101X+1T2017
31586,course-v1:ColumbiaX+DS102X+1T2017
