courseid,coursename
19526,course-v1:GKDJXJY+DGJS001+2015_T2
19527,course-v1:dongguan+zhiye008+20161223
19528,PEC/20220214_3X/2015_T1
19529,course-v1:CQU+Seb0007+2017_T1
19530,course-v1:TsinghuaX+10610193X_07+2017_T1
19531,course-v1:VPC+00690092X+2016_T1
19532,course-v1:bdschool+00690242+2015_T2
19533,course-v1:DelftX+PV4x+1T2018
19534,course-v1:TsinghuaX+00680142X_p10+sp
19535,course-v1:TsinghuaX+guangxi00691153X_1+2017_T1
19536,course-v1:XJTUSPOC+MACH2408+2016_T2
19537,course-v1:CurtinX+EDU1x+3T2016
19538,course-v1:Microsoft+CLD222x+1T2017
19539,course-v1:TsinghuaX+80000901+2015_T2
19540,TsinghuaX/20220332_1X/_
19541,course-v1:EPFLx+MatlabeOctaveBeginnersX+1T2017
19542,course-v1:Microsoft+DEV220x+3T2016
19543,course-v1:TsinghuaX+00680082_1X+2016_2017
19544,course-v1:yunnan_bsxy+ks_6+2017_T1
19545,course-v1:CQU+TSJYSTG00018+2017_T1
19546,course-v1:PennX+SD4x+2T2017
19547,course-v1:Microsoft+DAT213x+3T2016
19548,course-v1:TsinghuaX+30240184_1X+2016_T2
19549,course-v1:GXUST+2017041901X+2017_T1
19550,course-v1:RiceX+BIOC372.3x+1T2017
19551,course-v1:UPValenciaX+SIC101.2x+1T2017
19552,course-v1:HBU+30240184_2015X+2015_T2
19553,course-v1:JNUX+jnu01023001X+2017_T1
19554,course-v1:Microsoft+DEV210x+1T2017
19555,course-v1:Tsinghua+Thesis2017X+2017_T1
19556,course-v1:dongguan+zhiye022+20161223
19557,course-v1:BerkeleyX+CS169_1x+2015_T2
19558,course-v1:HUBU+2017022702X+sp
19559,course-v1:PekingX+04332960X+sp
19560,course-v1:TsinghuaX+10620204X+2016_2017
19561,course-v1:BIT+BIT2016001+sp
19562,course-v1:GKDJXJY+LJX001+2015_T2
19563,course-v1:PekingX+02530090x+3T2016
19564,course-v1:TsinghuaX+60240013X+2015__T2
19565,course-v1:UQx+ABLE201x+3T2016
19566,course-v1:dongguan+zhiye006+20161223
19567,course-v1:PurdueX+nano545x+1T2017
19568,course-v1:TsinghuaX+40670453X_p4+sp
19569,course-v1:TsinghuaX-shfxzx+80000901X+2015_T2
19570,course-v1:yunnan_CIE+CIE2016003+2016_T2
19571,course-v1:Stanfordx+SciWrite+2017_T1
19572,course-v1:TsinghuaX+TM01x+2T2017
19573,course-v1:guat_HNU+HNU001+2016_T2
19574,course-v1:TsinghuaX+MOOC101_2014+2015_T2
19575,course-v1:365dx+030+2017_T1
19576,course-v1:CQU+TSJYSSG00023+2017_T1
19577,course-v1:IDBx+IDB6.1x+2T2017
19578,course-v1:TsinghuaX+70250023X+2016_T1
19579,course-v1:yunnan_TsinghuaX+AP000005X+2016_T2
19580,course-v1:CDU+cdu0628+2017_T1
19581,course-v1:JLU+310306+161721
19582,course-v1:Microsoft+CLD228x+3T2017
19583,course-v1:TsinghuaX+00804723X+2017_T2
19584,course-v1:Wharton+DigitalMarketing1.1x+1T2017
19585,course-v1:GKDJXJY+CXSJ001+2015_T2
19586,course-v1:TsinghuaX+00690242X_2015_2+2015_T2
19587,course-v1:TsinghuaX+guangxi10430494X_2015_2+2017_T1
19588,TsinghuaX/10421094_2015X/2015_T1
19589,course-v1:EPFLx+cementX+3T2017
19590,course-v1:RiceX+AdvENVSCI_4x+_
19591,course-v1:TsinghuaX+30320174X+2016_T1
19592,course-v1:swust_TsinghuaX+10610193X+2016_T1
19593,course-v1:TsinghuaX+20350033X+2016_2017
19594,course-v1:bnugraduate_TsinghuaX+00510663X+2016_T2
19595,course-v1:CPVS+CPVS-XXLY001+20160901
19596,course-v1:LouvainX+Louv17.1x+3T2017
19597,course-v1:ASUx+ASM246+2174C
19598,course-v1:EPFLx+PlasmaIntroductionX+3T2016
19599,course-v1:Swjtu+1251003202+2016-T2
19600,course-v1:TsinghuaX+tjlivtcTHU00001X+2017_T1
19601,course-v1:NUDT+000601502+_
19602,course-v1:CQU+TSJYHG00067+2017_T1
19603,course-v1:IMFx+ESRx+1T2017
19604,course-v1:TsinghuaX+40040152X+3T2016
19605,course-v1:Wharton+SellingIdeas101x+2T2017
19606,course-v1:yunnan_TsinghuaX+00690092X+2016_T2
19607,course-v1:CAU+JZS001+2015_T2
19608,course-v1:HIT+GH47100100+2017_T2
19609,course-v1:SCU+00011142+2016_2017
19610,course-v1:cqu+CQUMATH20041+2017_T2
19611,course-v1:365dx+152+2016_T1
19612,course-v1:CQU+TSJYSSG00003+2017_T1
19613,course-v1:ZK+07874+J
19614,HVMOOC/sict_01/2015_T1
19615,course-v1:CPVS+CPVS_homework-qx201512+20170118
19616,course-v1:PEC+20220214X+2017__T1
19617,course-v1:TsinghuaX+30240184+sp
19618,course-v1:UC_BerkeleyX+CS_184_1x+_1
19619,course-v1:ycitX+30640014+2016_T1
19620,course-v1:CPVS+cpvs_homework-wangluojishu15ji+20170712
19621,course-v1:JaverianaX+Con.1602x.01+2T2017
19622,course-v1:TsinghuaX+00691153X_tv+2015_T1
19623,course-v1:TsinghuaX+80000901X+2016_T2
19624,course-v1:BUx+CIRTL.1x+2T2017
19625,course-v1:XJTU+4HP2RC+2017-T1
19626,course-v1:EdinburghX+COOPSx+2T2016
19627,course-v1:Microsoft+DAT223.2x+1T2017
19628,course-v1:TsinghuaX+70612463X+sp
19629,course-v1:xtkfq+15_390x_2015_T1+2015_T2
19630,TsinghuaX/10430896X/2016_T1
19631,course-v1:CPVS+CPVS_ZHJDCZSMD001+2017_T2
19632,course-v1:MITx+8.01.1x+3T2016
19633,course-v1:TsinghuaX+20440333_2014X+2014_T2_1
19634,course-v1:HLJUX+2017032101X+2017_T2
19635,course-v1:TsinghuaX+34100325_X+sp
19636,course-v1:ZK+00147+J
19637,course-v1:CQU+TSJYHG00031+2017
19638,course-v1:TsinghuaX+10421102X+2015_T2_
19639,course-v1:lzufe_TsinghuaX+30700313X+2016_T1
19640,course-v1:BIT+BIT+2015_T2
19641,course-v1:HIT+GH47100100+2016_T2
19642,course-v1:TsinghuaX+10430494X_2015_2+2017_T2
19643,course-v1:TsinghuaX+THU201605X+2016_TS
19644,course-v1:dongguan+zhongshen001+20161223
19645,tsinghuaSEM/00510888X/2015_T1
19646,course-v1:CQDD+THU00022X+2015_T2
19647,course-v1:SDUx+00931800+2015_T2
19648,course-v1:TsinghuaX+30640014X-p1+sp
19649,course-v1:W3Cx+HTML5.0x+1T2017
19650,course-v1:sanya_TsinghuaX+20220214X+2016_T1
19651,course-v1:GKDJXJY+WGGY001+2015_T2
19652,course-v1:SEU+00690803+2016_T2
19653,course-v1:swust_TsinghuaX+00740043X+2016_T1
19654,course-v1:HIT+13SD33000721+2016-5-2
19655,course-v1:MITx+6_002x+sp
19656,course-v1:PennX+SD2x+2T2017
19657,course-v1:HKPolyUx+HTM541x+2T2017
19658,course-v1:Tsinghua+MOOC010+2015_T2
19659,course-v1:TsinghuaX+40050455.2x+1T2017
19660,course-v1:liaoningX+LNA20150000019+01
19661,NNGLOBAL/MOOC003/2014_2015_2
19662,course-v1:CQU+TSJYHG00011+2017_T1
19663,course-v1:GKDJXJY+CALJC001+2015_T2
19664,course-v1:JaverianaX+Ind.1603x.01+3T2017
19665,course-v1:NSU_TsinghuaX+10610224X+2017_T1
19666,course-v1:TsinghuaX+00040132X+sp
19667,course-v1:TsinghuaX+30230931X+2016_2017
19668,course-v1:UC3Mx+INF.2x+1T2017
19669,course-v1:CIE+THU00008X+2015_T2
19670,course-v1:Microsoft+CLD208.2x+2T2017
19671,course-v1:TSINGHUA+TAC002+2015_T1
19672,course-v1:TsinghuaX+40670453X_p1+sp
19673,RiceX/AdvENVSCI_1x/_
19674,course-v1:CQU+TSJYHG00024+2017_T1
19675,course-v1:BerkeleyX+CS169_1x+2015__T2
19676,course-v1:TsinghuaX+00720091X+2016_T1
19677,course-v1:TsinghuaX+40670453X_tv+2015_T1
19678,course-v1:UC3Mx+IT.1.1x+3T2016
19679,course-v1:xtkfq+gx01640603_103138+2015_T2
19680,course-v1:ChongqingUX+CHEM10000X+sp
19681,course-v1:RITx+CYBER503x+2T2017
19682,course-v1:TsinghuaX+00720091X+2016_T2
19683,course-v1:TsinghuaX+uoh_THU00001X+2017_T1
19684,course-v1:myvtc12753+01030132X+2015_T2
19685,TsinghuaX/10610183X/2016_T1
19686,course-v1:GKDJXJY+MG001+2015_T2
19687,course-v1:Wharton+StrategyX+3T2017
19688,course-v1:sanxiauX+80000901+2016_T2
19689,course-v1:FullbridgeX+Career4x+3T2016
19690,course-v1:UBCx+ITSx+3T2016
19691,course-v1:yunnan_TsinghuaX+60250101X+2016_T2
19692,course-v1:GalileoX+CAAD001X+2T2017
19693,course-v1:NJMU+81643195X+2016_T2
19694,course-v1:TsinghuaX+00690092X+_2015_T2
19695,course-v1:TsinghuaX+AP000007X+2017_Winter
19696,course-v1:byxy+byxy052414+2017_T2
19697,TsinghuaX/20220053X/2015_T1
19698,course-v1:CAU+08110140X+2015_T2_
19699,course-v1:JNUX+07009156X+sp
19700,course-v1:NUDT+000601502+sp
19701,course-v1:TsinghuaX+30640014X+2016_T1
19702,course-v1:TsinghuaX-Chuange+80512073X+2015_T2
19703,course-v1:Tsinghua+20150001+2015_T2
19704,course-v1:TsinghuaX+60610231_p1+sp
19705,course-v1:USTBBB+test001+2014_T2
19706,course-v1:bjzrxrz+bx03+20161202
19707,MITx/6_002x/_Circuits_and_Electronics_
19708,course-v1:hnit_TsinghuaX+20220214X+2016_T2
19709,course-v1:BIT+30640014_2015X+2015_T2
19710,course-v1:HKPolyUx+HTM534x+2T2017
19711,course-v1:Microsoft+AZURE204x+3T2016
19712,course-v1:TsinghuaX+10610204_2015X+2015_T2
19713,course-v1:xuetangX+bttc20161215X+2017_T1
19714,AXT/GZHX1001/201411
19715,course-v1:BerkleeX+BMPR365x+1T2017
19716,course-v1:JLU+310305+161711
19717,course-v1:TsinghuaX+80140242X+2016_T2
19718,course-v1:ColumbiaX+CSMM.103x+1T2017
19719,course-v1:TsinghuaX+10430494X_2015_2+2015_T2
19720,course-v1:TsinghuaX+THU00013X+2017_T2
19721,course-v1:UTSanAntonioX+AD001x+2T2017
19722,course-v1:TsinghuaX+02090091X_p8+sp
19723,course-v1:HIT+13SC20301820+2017_T1
19724,course-v1:TsinghuaX+20250064_1X+2015_T2
19725,course-v1:UQx+Think101x+sp
19726,course-v1:slu+UST001+2017_T1
19727,course-v1:ASUx+TGM579x+2T2017
19728,course-v1:HBCM+00691153X+2015_T2
19729,course-v1:Tsinghua+dbcj_20150001+2017_T1
19730,course-v1:TsinghuaX+30640014_2015sX+2015_T2
19731,course-v1:skillchina_TsinghuaX+60510102X+2016_T1
19732,course-v1:Tsinghua+cppsu_20150001+2017_T2
19733,course-v1:TsinghuaX+80000271X+2017_T1
19734,course-v1:ycitX+THU00013X+2016_T1
19735,course-v1:BerkeleyX+ColWri11.1x+3T2016
19736,course-v1:TsinghuaX+30640014+2015_T2
19737,course-v1:BIT+MOOC101_2015+2015_T2
19738,course-v1:TsinghuaX+02070012X+2017_T1
19739,course-v1:swust_TsinghuaX+10430484X+2016_T1
19740,course-v1:JLUx+gx01640603_103138_1+2015_T2
19741,course-v1:PEC+20220214X+2015_T2
19742,course-v1:TsinghuaX+20330334_2015X+2015_T1
19743,course-v1:UPValenciaX+LIDER201.3x+2T2017
19744,course-v1:gznu10663+00690092X+2015_T2_
19745,course-v1:HBCM+MOOC101+2015_T2
19746,course-v1:SDJTU+070108+2018_T1
19747,course-v1:TsinghuaX+10610224X+2015_T2_2
19748,course-v1:XJTUMOOC+C00301+2017_T2
19749,course-v1:jlmu_TsinghuaX+THU00013X+2016_T2
19750,course-v1:zhongrongxin+fw015+2016_7
19751,TsinghuaX/00720091X/_
19752,course-v1:CIE+JD_2017+2017_T1
19753,course-v1:TsinghuaX+THU201602+sp
19754,course-v1:hnit_TsinghuaX+80000901_2X+2017_T1
19755,course-v1:BerkeleyX+CS169_1x+2015_T2_
19756,course-v1:HKPolyUx+Lifedeath101x+3T2017
19757,course-v1:TsinghuaX+02070251X+2017_T2
19758,course-v1:CatalystX+ILDIV1x+2T2017
19759,course-v1:IDBx+IDB20.1x+1T2017
19760,course-v1:NUDT+082501502+2014_T2
19761,course-v1:TsinghuaX+00804723X+sp
19762,course-v1:TsinghuaX+40670702X+2017_T2
19763,course-v1:chongqingdaxue+cqu2016001+2016t1
19764,TsinghuaX/AP000005X/2015_T2
