from_course_id,to_course_id,_base_name
course-v1:gxun+00701032X+2015_T2,course-v1:TsinghuaX+00701032X+2017_T2,美國政治概論
course-v1:NUDT+520804502+2016_T2,course-v1:NUDT+520804502+2016_2017,隨機信號處理
course-v1:TsinghuaX+30670043X+sp,course-v1:TsinghuaX+30670043X+2017_T2,傳播學原理
course-v1:TsinghuaX-yzu+10610193X+2015_T2,course-v1:TsinghuaX+10610193X+2017_T2,中國近現代史綱要
course-v1:skillchina_TsinghuaX+THU00022X+2016_T1,course-v1:TsinghuaX+yunnanTHU00022X_tv+2017_T1,中國大國崛起的經濟、歷史、國際研究分析
course-v1:JLU+30640014X+161721,course-v1:TsinghuaX+30640014X+2017_T2,生活英語聽說
course-v1:SDUx+sd01020140+2016_T2,course-v1:SDUx+sd01020140+2016_2017,大學物理-力學和熱學
course-v1:TsinghuaX+40990255X_1+2016_T2,course-v1:TsinghuaX+40990255X_1+2017_T1,暖通空調
TsinghuaX/80000901X/2014_T2,course-v1:TsinghuaX+guangxi80000901_2X+2017_T1,中國建築史
course-v1:RITx+PM9004x+3T2017,course-v1:RITx+PM9004x+2T2018,project management micromasters capstone exam
course-v1:TsinghuaX+10430494X+2014_T2,course-v1:TsinghuaX+10430494X_2015_2+2017_T2,大學物理2
course-v1:liaoningX+LNA20140000024+01,course-v1:liaoningX+LNA2014000002406+2017_T1,人因工程學
course-v1:gznu10663+ustcXLB05203a+2015_T2,course-v1:ustcX+LB05203_a+2017_T2,文獻管理與信息分析
course-v1:ustcX+USTC001+2016_2017,course-v1:ustcX+USTC001+2017_T2,linux操作系統分析
course-v1:NUDT+082501502+2016_2,course-v1:NUDT+082501502+2016_2017,導彈總體設計導論
course-v1:TsinghuaX+20440333_2014X+2014_T2,course-v1:TsinghuaX+20440333X+2016_2017,有機化學
course-v1:TsinghuaX+TsinghuaMandarin01+sp,course-v1:TsinghuaX+TsinghuaMandarin01+2017_T2,對外漢語
course-v1:MITx-cug+15_390x1+2015_T2,course-v1:MITx+15_390x_2017T1+2017_T2,創業101：你的客戶是誰？
course-v1:TsinghuaX+40600093X+2016_T2,course-v1:TsinghuaX+40600093X+2017_T2,國際金融
course-v1:bdschool+10800032+2015_T2,course-v1:TsinghuaX+10800032X+2017_T2,外國工藝美術史
HNU/HNU001/2015_T1,course-v1:GIT+git2015-2+2016-3,現代禮儀
course-v1:ACCA+MA2_X+sp,course-v1:ACCA+MA2_X+2017_T2,中級管理會計
course-v1:Microsoft+CLD215x+2T2016,course-v1:Microsoft+CLD215x+3T2017,managing projects & portfolios with microsoft ppm
course-v1:hit+123456+2017_T1,course-v1:TsinghuaX+20740102-2+2016_T1,計算機程序設計基礎
course-v1:dongguan+zhiye046+20161223,course-v1:TsinghuaX+80240372X+2017_T2,數據挖掘：理論與算法
course-v1:MITx+6_00_1x+sp,course-v1:MITx+6_00_1x+2015_T2,計算機科學和python編程導論
course-v1:TsinghuaX-cug+80512073X+2015_T2,course-v1:TsinghuaX+80512073X_1+2017_T1,財務分析與決策
course-v1:dongguan+zhiye012+20161223,course-v1:TsinghuaX+00720091X+2017_T2,足球運動與科學
course-v1:TsinghuaX+30240243X+_2015_T2,course-v1:TsinghuaX+huds_30240243X+2017_T1,操作系統
course-v1:dongguan+zhongshen012+20161223,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
course-v1:NSU_TsinghuaX+00510888X+2016_T2,course-v1:TsinghuaX+00510888X+2017_T2,創業啓程
course-v1:TsinghuaX+TSINGHUA107+2016-T2,course-v1:TsinghuaX+TSINGHUA107+2017_T2,經典與思考——人文清華大師面對面
TsinghuaX/00701032X/2015_T1,course-v1:TsinghuaX+00701032X+2017_T2,美國政治概論
course-v1:TsinghuaX+10421065X+2015_T2,course-v1:TsinghuaX+10421065X+2016_2017,微積分-2
course-v1:TsinghuaX+MOOC101+2014_T2,course-v1:TsinghuaX+MOOC101+2017_TS,e時代的大佬師——慕課教師的修煉心法
course-v1:SDUx+sd010201402+2016--T2,course-v1:SDUx+sd010201402+2016_2017,大學物理-電磁學和光學
course-v1:TsinghuaX+20350033X+2016_T1,course-v1:TsinghuaX+20350033X+2016_2017,工程材料
course-v1:TsinghuaX+80590952X+2016_TS,course-v1:TsinghuaX+80590952X+2017_T2,公共危機管理
course-v1:UTPermianBasin+SOCI101x+3T2016,course-v1:ASUx+SOC101x+2174C,introduction to sociology
course-v1:ynu_TsinghuaX+80000822X+2017_T1,course-v1:TsinghuaX+80000822X+2017_T2,適老居住空間與環境設計
course-v1:ycxy_SDUx+131000110+2016_T2,course-v1:365dx+130+2016_T1,大學計算機——計算思維的視角
course-v1:ZUEL+B0680090_2015_T2+2015_T2,course-v1:ZUEL+B0680090+2017_T2,經濟地理與企業興衰
course-v1:xuetangx+credittest7+2017_T1,course-v1:TsinghuaX+guangxi80000901_2X+2017_T1,中國建築史
TsinghuaX/30240184_2015X/2015_T1,course-v1:TsinghuaX+huds_30240184_2X+2017_T1,數據結構
course-v1:CQU+CHEM10000+2016-T2,course-v1:CQU+CQUCHEM10003-002+2017-T1,大學化學ⅰ
course-v1:hnit_TsinghuaX+20220053X+2016_T2,course-v1:TsinghuaX+20220053X+2016_2017,電工技術
course-v1:yunnan_TsinghuaX+10450034_2X+2016_T2,course-v1:TsinghuaX+10450034_2X+2016_2017,普通生物學 ——植物和動物
course-v1:365dx+CS77+2017_T1,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:Microsoft+CLD209.2x+2T2017,course-v1:Microsoft+CLD209.2x+3T2017,transitioning to microsoft exchange server 2016
course-v1:TsinghuaX+huds_00740043X+2017_T1,course-v1:TsinghuaX+00740043_1x+2017_T2,c++語言程序設計基礎
course-v1:sicau+00740113X+2015_T2,course-v1:TsinghuaX+00740113X1+2017_T1,vc++面向對象與可視化程序設計
course-v1:guangxi_SDUx+sd010201402+2016_T2,course-v1:SDUx+sd010201402+2016_2017,大學物理-電磁學和光學
course-v1:tjmv_TsinghuaX+00310222X+2016_T2,course-v1:365dx+035+2017_T1,創客培養
course-v1:JLU+00691153X+151621,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
course-v1:TsinghuaX+01030132X+2016_TS,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:ZZUX+2017041801X+sp,course-v1:ZZU+2017041801X+2017_T2,中原文化
course-v1:ycit_TsinghuaX+20440333X+2016_T1,course-v1:TsinghuaX+20440333X+2016_2017,有機化學
SDSZ/15_390x/2015_T1,course-v1:TsinghuaX+80512073X_1+2017_T1,財務分析與決策
course-v1:TsinghuaX+30040323X+2016_T1,course-v1:TsinghuaX+30040323X+2016_2017,水力學
course-v1:TsinghuaX-cug+00701032X+2015_T2,course-v1:TsinghuaX+00701032X+2017_T2,美國政治概論
course-v1:61969_TsinghuaX+40670453X+2016_T2,course-v1:TsinghuaX+40670453X+2017_T2,新聞攝影
MITx/15_390x_2015_T1/2015_T1,course-v1:MITx+15_390x_2017T1+2017_T2,創業101：你的客戶是誰？
course-v1:JLU+310306+161711,course-v1:JLU+310306+161721,社區護理學
course-v1:TsinghuaX+cfxy80512073X+2017_T1,course-v1:TsinghuaX+80512073X_1+2017_T1,財務分析與決策
course-v1:TsinghuaX+00680142X+2017_T1,course-v1:TsinghuaX+00680142X+2017_T2,儒家修身之道
course-v1:TsinghuaX+AP201601X+2016_T2,course-v1:TsinghuaX+AP201601X+2016-T2,大學物理 -電磁學
course-v1:TsinghuaX+10421094X_2015_2+sp,course-v1:SDUx+00931800X+2017_T2,線性代數
course-v1:dongguan+zhiye042+20161223,course-v1:TsinghuaX+huds_30240243X+2017_T1,操作系統
TsinghuaX/20440333_2015X/2015_T1,course-v1:TsinghuaX+20440333X+2016_2017,有機化學
course-v1:TsinghuaX+CAU10610224X_05+2017_T1,course-v1:TsinghuaX+10610224X+2017_T2,毛澤東思想和中國特色社會主義理論體系概論
course-v1:Wharton+MarketingAnalytics101x+1T2017,course-v1:Wharton+MarketingAnalytics101x+3T2017,marketing analytics: data tools and techniques
course-v1:xduX+10610224X+2015_T2,course-v1:TsinghuaX+10610224X+2017_T2,毛澤東思想和中國特色社會主義理論體系概論
course-v1:Microsoft+DAT215.2x+3T2016,course-v1:Microsoft+DAT215.2x+1T2017,creating programmatic sql database objects
course-v1:TsinghuaX+20120143X+2016_T1,course-v1:TsinghuaX+20120143X+2017_T2,工程製圖
course-v1:XJTU+BIOL3028+2014_T2_,course-v1:XJTU+BIOL3028+2017_T2,分子生物學——原理與技術
course-v1:dongguan+zhiye059+20161223,course-v1:TsinghuaX+34000888X+2017_T2,走進醫學
course-v1:BabsonX+BPET.STATx+1T2017,course-v1:BabsonX+BPET.STATx+2T2017,analytics for decision making
TsinghuaX/10430494_2015X/2015_T1,course-v1:TsinghuaX+10430494X_2015_2+2017_T2,大學物理2
course-v1:TsinghuaX+00740113_2X+2016_2017,course-v1:TsinghuaX+huds_00740113_2X+2017_T1,vc++面向對象與可視化程序設計 ：mfc編程基礎
course-v1:TsinghuaX+70150023X+sp,course-v1:TsinghuaX+70150023X+2016_2017,汽車理論
course-v1:nuctech_TsinghuaX+40670453X+2016_T1,course-v1:TsinghuaX+40670453X+2017_T2,新聞攝影
TSINGHUA/10610193X/2015_T1,course-v1:TsinghuaX+10610193X+2017_T2,中國近現代史綱要
course-v1:MITx+15_390x_2016T1+2016_T1,course-v1:LouvainX+Louv17.2x+1T2018,error
course-v1:RiceX+RELI157x+sp,course-v1:RiceX+RELI157x+2017_T1,宗教和嘻哈文化
course-v1:TsinghuaX+30040323X+2015_T2,course-v1:TsinghuaX+30040323X+2016_2017,水力學
TsinghuaX/30240243X/2015_T1,course-v1:TsinghuaX+huds_30240243X+2017_T1,操作系統
course-v1:TsinghuaX+20220214X+2016_T2,course-v1:TsinghuaX+20220214X+2017_T2,電路原理
course-v1:dongguan+zhiye090+20161223,course-v1:TsinghuaX+30670043X+2017_T2,傳播學原理
course-v1:nuctech_TsinghuaX+00690342X+2016_T1,course-v1:TsinghuaX+00690342X+2017_T2,西方哲學精神探源
TsinghuaX/20220332_2X/_,course-v1:TsinghuaX+20220214X+2017_T2,電路原理
course-v1:PurdueX+416.2x+3T2016,course-v1:PurdueX+416.2x+1T2017,probability: distribution models & continuous random variables
NEU/CCS0001/2015_T1,course-v1:NEU+CCS000104+2017_T1,高級語言程序設計
course-v1:TsinghuaX+10430494X_2015_2+sp,course-v1:TsinghuaX+10430494X_2015_2+2017_T2,大學物理2
course-v1:TsinghuaX+JRFX01+2016_TS,course-v1:TsinghuaX+JRFX01+2017_T2,財務分析與估值
course-v1:365dx+157+2016_T1,course-v1:CAU+guangxi08110140_1x+2017_T1,c程序設計案例教程
course-v1:JaverianaX+Papasoc.1602x.07+3T2016,course-v1:JaverianaX+Papasoc.1602x.07+2T2017,pensamiento del papa francisco
course-v1:TsinghuaX+30150303X+2015_T2,course-v1:TsinghuaX+30150303X+sp,汽車造型設計二維表達
course-v1:USMx+BIF001x+2T2017,course-v1:USMx+BIF001x+2T2017_2,dna sequences: alignments and analysis
course-v1:gdou_HIT+GH47100100+2017_T1,course-v1:HIT+GH47100100+2017_T2,自我認知與情緒管理
course-v1:BIT+01030132X+2015_T2,course-v1:TsinghuaX+01030132X+2017_T2,大學歷史與文化
course-v1:GKDJXJY+DGJS001+2015_T2,course-v1:TsinghuaX+20220053X+2016_2017,電工技術
course-v1:dongguan+zhiye008+20161223,course-v1:TsinghuaX+60240013X+2016_2017,組合數學
PEC/20220214_3X/2015_T1,course-v1:pec_TsinghuaX+20220214X+2016_T1,廈門理工學院_電路原理
course-v1:TsinghuaX+10610193X_07+2017_T1,course-v1:TsinghuaX+10610193X+2017_T2,中國近現代史綱要
course-v1:VPC+00690092X+2016_T1,course-v1:TsinghuaX+00690092X+2017_T2,邏輯學概論
course-v1:bdschool+00690242+2015_T2,course-v1:TsinghuaX+00690242X+2017_T2,文物精品與文化中國
course-v1:TsinghuaX+guangxi00691153X_1+2017_T1,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
course-v1:XJTUSPOC+MACH2408+2016_T2,course-v1:mechanology+jx01+2016-T1,機械設計基礎
course-v1:CurtinX+EDU1x+3T2016,course-v1:CurtinX+EDU1x+1T2017,analytics for the classroom teacher
course-v1:Microsoft+CLD222x+1T2017,course-v1:Microsoft+CLD222x+3T2017,managing microsoft exchange online in office 365
course-v1:TsinghuaX+80000901+2015_T2,course-v1:TsinghuaX+guangxi80000901_2X+2017_T1,中國建築史
TsinghuaX/20220332_1X/_,course-v1:TsinghuaX+20220214X+2017_T2,電路原理
course-v1:Microsoft+DEV220x+3T2016,course-v1:Microsoft+DEV220x+1T2017,angularjs: framework fundamentals
course-v1:TsinghuaX+00680082_1X+2016_2017,course-v1:TsinghuaX+00680082_1X+2017_T2,審美的歷程
course-v1:Microsoft+DAT213x+3T2016,course-v1:Microsoft+DAT213x+2T2017,analyzing big data with microsoft r server
course-v1:TsinghuaX+30240184_1X+2016_T2,course-v1:TsinghuaX+huds_30240184_2X+2017_T1,數據結構
course-v1:HBU+30240184_2015X+2015_T2,course-v1:TsinghuaX+huds_30240184_2X+2017_T1,數據結構
course-v1:JNUX+jnu01023001X+2017_T1,course-v1:JNUX+jnu01023001X+2017_T2,英語語法與寫作
course-v1:Microsoft+DEV210x+1T2017,course-v1:Microsoft+DEV210x+2T2017,introduction to c++
course-v1:dongguan+zhiye022+20161223,course-v1:TsinghuaX+80000822X+2017_T2,適老居住空間與環境設計
course-v1:BerkeleyX+CS169_1x+2015_T2,course-v1:ieuX+MOOC005+2016_T2,雲計算與軟件工程——第一部分
course-v1:HUBU+2017022702X+sp,course-v1:HUBU+2017022702X+2017_T2,英語暢談中國
course-v1:PekingX+04332960X+sp,course-v1:PekingX+04332960X+2017_T2,20世紀西方音樂
course-v1:TsinghuaX+10620204X+2016_2017,course-v1:TsinghuaX+10620204X+2017_T2,馬克思主義基本原理
course-v1:GKDJXJY+LJX001+2015_T2,course-v1:TsinghuaX+00690092X+2017_T2,邏輯學概論
course-v1:TsinghuaX+60240013X+2015__T2,course-v1:TsinghuaX+60240013X+2016_2017,組合數學
course-v1:dongguan+zhiye006+20161223,course-v1:TsinghuaX+10421145X+2016_2017,微積分-1
course-v1:TsinghuaX-shfxzx+80000901X+2015_T2,course-v1:TsinghuaX+guangxi80000901_2X+2017_T1,中國建築史
course-v1:yunnan_CIE+CIE2016003+2016_T2,course-v1:hebei_CIE+CIE2016003+2017_T1,創業者心理學：積極心態的力量
course-v1:Stanfordx+SciWrite+2017_T1,course-v1:Stanfordx+SciWrite+2017_T2,科學寫作
course-v1:guat_HNU+HNU001+2016_T2,course-v1:GIT+git2015-2+2016-3,現代禮儀
course-v1:TsinghuaX+MOOC101_2014+2015_T2,course-v1:TsinghuaX+MOOC101+2017_TS,e時代的大佬師——慕課教師的修煉心法
course-v1:365dx+030+2017_T1,course-v1:TsinghuaX+00690863X+2017_T2,唐宋詞鑑賞
course-v1:TsinghuaX+70250023X+2016_T1,course-v1:TsinghuaX+70250023X+2016_2017,線性系統理論
course-v1:yunnan_TsinghuaX+AP000005X+2016_T2,course-v1:TsinghuaX+AP000005X+2016_2017,微積分
course-v1:Wharton+DigitalMarketing1.1x+1T2017,course-v1:Wharton+DigitalMarketing1.1x+2T2017,"digital marketing, social media and e-commerce for your business"
course-v1:GKDJXJY+CXSJ001+2015_T2,course-v1:TsinghuaX+30240233X+2016_2017,程序設計基礎
course-v1:TsinghuaX+00690242X_2015_2+2015_T2,course-v1:TsinghuaX+00690242X+2017_T2,文物精品與文化中國
course-v1:TsinghuaX+guangxi10430494X_2015_2+2017_T1,course-v1:TsinghuaX+10430494X_2015_2+2017_T2,大學物理2
TsinghuaX/10421094_2015X/2015_T1,course-v1:SDUx+00931800X+2017_T2,線性代數
course-v1:RiceX+AdvENVSCI_4x+_,course-v1:RiceX+AdvENVSCI_4x+sp,ap*備考——環境科學，第四部分：考試複習
course-v1:TsinghuaX+30320174X+2016_T1,course-v1:TsinghuaX+30320174X+2016_2017,核輻射物理及探測學
course-v1:swust_TsinghuaX+10610193X+2016_T1,course-v1:TsinghuaX+10610193X+2017_T2,中國近現代史綱要
course-v1:TsinghuaX+tjlivtcTHU00001X+2017_T1,course-v1:TsinghuaX+THU00001X+2017_T2,決勝移動互聯網：創業者的商業模式課
course-v1:NUDT+000601502+_,course-v1:NUDT+000601502+sp,航天器軌道力學
course-v1:TsinghuaX+40040152X+3T2016,course-v1:TsinghuaX+40040152X+1T2017,geology and engineering geology
course-v1:yunnan_TsinghuaX+00690092X+2016_T2,course-v1:TsinghuaX+00690092X+2017_T2,邏輯學概論
course-v1:CAU+JZS001+2015_T2,course-v1:TsinghuaX+guangxi80000901_2X+2017_T1,中國建築史
course-v1:SCU+00011142+2016_2017,course-v1:SCU+00011142+2017_T2,古典文學的城市書寫
course-v1:cqu+CQUMATH20041+2017_T2,course-v1:CQUMOOC+0005-ProbabilitandStatistics+2017_T1,概率論與數理統計
course-v1:365dx+152+2016_T1,course-v1:TsinghuaX+00701032X+2017_T2,美國政治概論
course-v1:PEC+20220214X+2017__T1,course-v1:pec+20220214X+2017_T1,溫州大學_電路分析
course-v1:TsinghuaX+30240184+sp,course-v1:TsinghuaX+huds_30240184_2X+2017_T1,數據結構
course-v1:UC_BerkeleyX+CS_184_1x+_1,course-v1:LouvainX+Louv17.2x+1T2018,error
course-v1:ycitX+30640014+2016_T1,course-v1:TsinghuaX+30640014X+2017_T2,生活英語聽說
course-v1:TsinghuaX+00691153X_tv+2015_T1,course-v1:TsinghuaX+00691153X+2017_T2,不朽的藝術：走進大師與經典
course-v1:TsinghuaX+80000901X+2016_T2,course-v1:TsinghuaX+guangxi80000901_2X+2017_T1,中國建築史
course-v1:Microsoft+DAT223.2x+1T2017,course-v1:Microsoft+DAT223.2x+2T2017,processing real-time data streams in azure
course-v1:TsinghuaX+70612463X+sp,course-v1:TsinghuaX+guangxi70612463X+2017_T1,基於r語言的社會統計分析
course-v1:xtkfq+15_390x_2015_T1+2015_T2,course-v1:MITx+15_390x_2017T1+2017_T2,創業101：你的客戶是誰？
TsinghuaX/10430896X/2016_T1,course-v1:TsinghuaX+10430896X+2016_2017,光學
course-v1:MITx+8.01.1x+3T2016,course-v1:MITx+8.01.1x+3T2017,mechanics: kinematics and dynamics
course-v1:TsinghuaX+20440333_2014X+2014_T2_1,course-v1:TsinghuaX+20440333X+2016_2017,有機化學
course-v1:TsinghuaX+34100325_X+sp,course-v1:TsinghuaX+huds_34100325X+2017_T1,軟件工程
course-v1:TsinghuaX+10421102X+2015_T2_,course-v1:SDUx+00931800X+2017_T2,線性代數
course-v1:lzufe_TsinghuaX+30700313X+2016_T1,course-v1:TsinghuaX+30700313X+2017_T2,心理學概論
course-v1:BIT+BIT+2015_T2,course-v1:BIT+ELC05198+2016_2017,微電子電路基礎
course-v1:HIT+GH47100100+2016_T2,course-v1:HIT+GH47100100+2017_T2,自我認知與情緒管理
course-v1:TsinghuaX+THU201605X+2016_TS,course-v1:TsinghuaX+THU201605X+2017_T2,信息素養——學術研究的必修課
course-v1:dongguan+zhongshen001+20161223,course-v1:TsinghuaX+30806872X+2017_T2,生活、藝術與時尚：中國服飾七千年
tsinghuaSEM/00510888X/2015_T1,course-v1:TsinghuaX+00510888X+2017_T2,創業啓程
course-v1:CQDD+THU00022X+2015_T2,course-v1:TsinghuaX+yunnanTHU00022X_tv+2017_T1,中國大國崛起的經濟、歷史、國際研究分析
course-v1:SDUx+00931800+2015_T2,course-v1:SDUx+00931800X+2017_T2,線性代數
course-v1:sanya_TsinghuaX+20220214X+2016_T1,course-v1:sanya_TsinghuaX+02107205+2017_T1,電路分析基礎
course-v1:GKDJXJY+WGGY001+2015_T2,course-v1:TsinghuaX+10800032X+2017_T2,外國工藝美術史
course-v1:SEU+00690803+2016_T2,course-v1:SEU+00690803+2017_T1,大學國文
course-v1:swust_TsinghuaX+00740043X+2016_T1,course-v1:TsinghuaX+00740043_1x+2017_T2,c++語言程序設計基礎
course-v1:HIT+13SD33000721+2016-5-2,course-v1:CQUMOOC+0002-StructuralMechanics+2017_T1,結構力學
course-v1:MITx+6_002x+sp,course-v1:VPC_TsinghuaX+30230931X+2016_T1,電路與電子學
course-v1:Tsinghua+MOOC010+2015_T2,course-v1:TsinghuaX+MOOC101+2017_TS,e時代的大佬師——慕課教師的修煉心法
